78981641,H01
79039684,A71
79039796,A06
79162620,F02
79162867,A16
79170710,G02
79200395,D36
79200697,A75
82701417,A75
82762231,H01 
82762255,A11
83057520,A08
83057874,D01
83107176,A75
83110196,D19
85854347,D01
86130779,A84
86130807,A62
86145076,A13
90116213,H02
90154755,A22
90154763,F02
92584017,C02
92584023,E21
92640455,A14
93722649,A27
93723008,A14
93724394,D45
93725413,A87
93726612,D14
94436300,L07
97116408,A23
97131888,A17
97132123,D25
97132124,D25
97132125,I13
97132404,I02
97159072,D10
97163376,A16
97165668,D53
97170798,B36
97171659,B36
97708438,I10
97708971,H01
116173773,N11
116733551,B34
116738144,D16
116738146,D16
116738228,C31
116738259,C31
116738345,D20
116739782,B37
116739799,I10
117740262,E01
117740758,B36
117741739,A50
117741773,E09
117743755,D15
117744524,A07
117745201,F02
117756466,D15
121185201,A87
140082064,D21
140111936,H02
140192533,D19
140194578,A87
140194921,A87
140195411,D07
140195411,D08
140212674,C36
140212764,A86
140230954,E44
140238643,E44
140238711,E44
140238716,E44
140238813,C01
140238847,B34
140300365,H01
140317197,A22
140317307,A86
140317315,A86
140317369,A86
140317370,A86
140341178,L07
140384370,A16
140384530,N11
140459052,D48
140461476,D42
140461500,D38
140462250,A19
140473580,F08
140473626,G10
140473845,G03
140474720,D29
140478109,D69
140478177,A14
140478777,D45
140478806,B34
140478820,D07
140478820,D08
140478858,A70
140478861,C01
140478866,E21
140478880,A70
140478914,G01
140478915,B34
140479020,D37
140492270,H03
140492271,I04
140492272,C13
140492273,G03
140492274,A25
140492275,A17
140492276,A17
140492277,A71
140492290,A14
140492291,C01
140492292,B01
140492293,A08
140492294,A19
140492295,A27
140492296,A19
140492297,B36
140492303,D53
140492304,D53
140492729,E44
140492770,A06
140492772,A62
140492783,E44
140496390,D36
140496393,D38
140501126,E05
140506425,F12
140507557,D38
141053190,A87
141053579,H01
141053670,B08
141053678,A87
141053679,A87
141053711,A06
141073428,H01
141074323,D18
141092988,D06
141093113,G03
141093127,C01
141093235,D37
141113670,A12
141113671,D47
141113672,D45
141113673,C36
141113716,D54
141113965,F10
141121617,I02
141123325,A19
141123630,E05
141123958,A07
141124252,C13
141124253,D06
141149398,A87
141149418,A87
141149688,C02
141156527,A87
141180625,B34
141180791,H01
141180794,B36
141180796,A87
141210781,G14
141214847,C02
141214886,I02
141234329,D14
141235941,F12
141240020,G01
141240085,H02
141240093,A22
141240161,A15
141240386,A14
141242683,D69
141243041,H09
141243059,H09
141244043,H01
141244046,E11
141254144,A75
141307848,E21
141307982,H03
141307994,A23
141307995,A16
141307998,A16
141308014,A62
141310768,D69
141321853,B98
141321855,B98
141321856,B98
141355426,D47
141355428,E01
141358649,D49
141376121,D69
141376122,E52
141387301,F15
141387302,F15
141387303,F15
141387304,F15
141387317,E13
141387470,C36
141388105,D20
141388931,A19
141389787,D46
141389921,A07
141390388,A87
141406534,H01
141408020,A86
141408569,B113
141408570,B113
141408571,B113
141408572,B113
141408589,A23
141408696,A86
141419166,H09
141428020,H09
141436846,D07
141436847,A62
141436885,A07
141436886,D19
141436887,A70
141436888,A70
141437025,D20
141437026,C33
141437180,E52
141437289,A07
141437314,D07
141437350,D46
141441839,H02
141448970,G03
141449117,A19
141449352,D19
141449514,D53
141449527,D13
141450496,B36
141450507,A22
141450642,A08
141456360,D13
141458788,B01
141459057,A25
141459111,A19
141459112,D69_O36
141459186,A19
141459192,D53
141461875,I28
141461875,I29
141461888,H10
141461929,A86
141467095,E05
141467129,E20
141478203,B29
141478406,UNKN01
141505935,A84
141506109,B36
141506341,G01
141507944,D29
141508000,D19
141520151,H01
141520160,I10
141520197,D48
141520508,D45
141521013,B27
141521168,D18
141521357,A62
141528713,UNKN02
141528715,UNKN03
141528716,UNKN04
141528734,C25
141528736,C25
141528737,UNKN05
141528738,UNKN06
141528739,UNKN07
141528740,UNKN08
141528742,UNKN09
141528743,UNKN10
141528767,UNKN11
141528768,UNKN12
141528779,UNKN13
141528786,UNKN14
141528788,UNKN15
141534193,C02
141534195,C04
141534283,D19
141536574,E11
141537224,L07
141537838,A06
141537887,H09
141545212,A95
141549653,D47
141549724,C36
141550206,G10
141550208,G14
141550572,D01
141551433,B36
141551435,H03
141551635,D45
141595474,E13
141597208,N11
141597253,H01
141599779,UNKN16
141599813,C31
141614171,UNKN17
141614405,A17
141614897,E11
141615003,F07
141615176,UNKN18
141619229,A62
141622710,UNKN19
141624894,UNKN20
141626820,D38
141626821,D21
141626874,D36
141626954,D38
141628934,UNKN21
141628937,UNKN22
141629272,D45
141630579,D01
141632096,A75
141632537,UNKN23
141632802,UNKN24
141633061,UNKN25
141642516,G01
141651342,UNKN26
141651426,E01
141654983,E11
141655077,D18
141655190,UNKN27
141655231,A87
141655232,A87
141655233,A87
141662125,E52
141662134,D25
141662638,A87
141662647,A86
141668105,D42
141668637,G10
141668689,F08
141669467,E21
141669671,E44
141669718,A14
141669913,E44
141683005,A86
141683006,A86
141683007,A86
141683008,A86
141683487,D10
141683496,E52
141723335,D25
141723337,D06
141723350,A07
141724347,E11
141739775,D29
141739776,H02
141739814,A71
141739841,A19
141740367,A87
141740370,A86
141740371,A14
141740372,B08
141740398,A87
141740399,H01
141740400,A06
141740401,F12
141740696,A87
141740697,D69_O36
141749018,I04
141749019,A08
141749020,C13
141749021,A14
141749023,I02
141749024,B36
141749025,B01
141749144,A16
141749338,B36
141749358,H03
141749359,D38
141749360,A27
141749361,A17
141756942,C13
141758197,H01
141758202,CCD
141758237,E11
141764117,E11
141764124,B07
141764139,B07
141764140,D53
141764141,D36
141777847,A08
141789115,F10
141799885,B07
141799887,B07
141799891,B07
141799941,A95
141799958,A22
141799960,H01
141799961,A15
141799966,A87
141799967,A14
141799968,A87
141806395,E11
141807099,E11
141807100,E11
141811940,CCD
145018327,B03
145018328,B03
145030107,E09
145044815,A75
145044848,A75
145044850,A75
141799935,UNKN28
197195178,B01
197198889,D45
230078731,D46
230083198,B98
230083199,B98
230083200,B98
230083442,B01
230083444,D20
270066135,G14
271124220,C36
271124222,D45
271124223,D47
271150454,CCD
271349532,F10
271351764,E05
271355463,L07
997725972,A70
997729088,H01
